question,reponse,categorie,niveau_difficulte
"Qu'est-ce qu'un budget ?","Un budget est un outil de suivi permettant de lister ses ressources (revenus) et ses dépenses sur une période donnée, généralement un mois. Il aide à équilibrer ses finances et à atteindre ses objectifs financiers.",Concept budget,Facile
"Comment calcule-t-on le prix final après une réduction ?","Prix final = Prix de départ - (Prix de départ × pourcentage de réduction). Par exemple, pour 30% de réduction, on multiplie le prix par 0,70.",Calcul budget,Moyen
"Qu'est-ce que l'épargne ?","L'épargne consiste à mettre de l'argent de côté, à ne pas dépenser immédiatement, pour pouvoir l'utiliser plus tard en cas de besoin ou pour réaliser un projet.",Concept epargne,Facile
"Que signifie l'expression 'Jeter l'argent par les fenêtres' ?","Cela signifie dépenser sans compter et sans utilité, gaspiller son argent.",Expressions argent,Facile
"Quelle est la différence entre un besoin et un désir ?","Un besoin est essentiel à la survie ou au bien-être de base (se loger, se nourrir). Un désir est quelque chose d'agréable à avoir mais non essentiel (un gadget, un vêtement de marque).",Concept budget,Moyen
"Qu'est-ce que le TAEG ?","Le TAEG (Taux Annuel Effectif Global) est le taux d'intérêt qui correspond à la totalité des sommes à payer pour un crédit, incluant les intérêts, frais de dossier et autres frais obligatoires.",Concept credit,Difficile
"Qu'est-ce qu'un livret A ?","Le livret A est un compte d'épargne réglementé par l'État, dont les fonds sont disponibles à tout moment. La gestion est sans frais et les intérêts sont exonérés d'impôts. Son taux est fixé par l'État.",Produit epargne,Moyen
"Comment calcule-t-on le rendement annuel d'un livret A ?","Rendement = Capital × Taux d'intérêt. Exemple : 6 400 € × 0,75% = 48 € d'intérêts par an.",Calcul epargne,Moyen
"Qu'est-ce que l'intérêt composé ?","L'intérêt composé est l'intérêt calculé non seulement sur le capital initial, mais aussi sur les intérêts déjà accumulés. C'est l'effet boule de neige qui fait fructifier l'épargne plus rapidement.",Concept epargne,Difficile
"À quoi sert un fonds d'urgence ?","Un fonds d'urgence sert à faire face aux imprévus : perte d'emploi, maladie, réparation urgente. Il représente généralement 3 à 6 mois de salaire net et doit être placé sur un compte facilement accessible.",Concept epargne,Moyen
"Qu'est-ce qu'une carte bancaire à puce ?","C'est une carte de paiement équipée d'un microprocesseur doté d'une mémoire et de capacités de calcul. Elle sécurise les transactions et est obligatoire en France.",Moyens paiement,Facile
"Où se trouve le cryptogramme visuel sur une carte bancaire ?","Ce sont les 3 derniers chiffres au dos de la carte, sur le panneau de signature. Ils sont nécessaires pour les paiements à distance (internet, téléphone).",Moyens paiement,Facile
"Que risque-t-on à fabriquer de faux billets ?","On risque une peine de prison de 30 ans et une amende de 450 000 €.",Securite argent,Facile
"Qu'est-ce qu'un découvert bancaire ?","Le découvert est une avance permise par la banque pour régler des paiements alors que le compte ne dispose pas de provisions suffisantes. Il génère des agios.",Concept credit,Moyen
"Que sont les agios ?","Les agios sont les frais prélevés par la banque en cas d'opérations particulières sur le compte du client, notamment en cas de découvert ou d'avance.",Concept banque,Moyen
"Qu'est-ce que le surendettement ?","Le surendettement est une situation dans laquelle une personne a accumulé trop de dettes et n'est plus capable de faire face à ses échéances de paiement.",Concept credit,Difficile
"Qu'est-ce qu'un prêt relais ?",Un pret relais est un financement a court terme permettant d'acheter un nouveau bien immobilier avant d'avoir vendu le precedent.,Concept credit,Difficile
"Quelle est la difference entre un pret personnel et un credit renouvelable ?","Un prêt personnel est un montant fixe remboursé en mensualités déterminées. Un crédit renouvelable est une réserve d'argent que l'on peut utiliser et reconstituer à volonté, avec des intérêts souvent plus élevés.",Concept credit,Moyen
"Qu'est-ce que l'assurance-vie ?","L'assurance-vie est un contrat par lequel l'assureur s'engage, en contrepartie de primes, à verser un capital ou une rente à une ou plusieurs personnes déterminées, en cas de vie ou de décès.",Concept assurance,Moyen
"À quoi sert une assurance habitation ?","L'assurance habitation couvre les dommages causés au logement et aux meubles (incendie, dégâts des eaux, vol) ainsi que la responsabilité civile du propriétaire ou locataire.",Concept assurance,Facile
"Qu'est-ce que la franchise en assurance ?","La franchise est la somme d'argent qui reste à la charge de l'assuré après indemnisation par l'assureur. Par exemple, sur un sinistre de 1 000 € avec une franchise de 100 €, l'assureur ne verse que 900 €.",Concept assurance,Moyen
"Comment calcule-t-on un budget mensuel ?","On additionne tous les revenus nets du foyer. On soustrait toutes les dépenses (fixes et variables). Le résultat est soit un excédent (surplus) soit un déficit.",Calcul budget,Facile
"Qu'est-ce que l'épargne de précaution ?","C'est une épargne disponible immédiatement, placée sur un compte liquide (livret A, compte sur livret), destinée à faire face aux imprévus. Elle correspond à 3 à 6 mois de dépenses courantes.",Concept epargne,Moyen
"Qu'est-ce qu'un prêt étudiant ?","Un prêt étudiant est un crédit destiné à financer les études supérieures. En France, le prêt étudiant bancaire peut être à taux zéro sous conditions. Au Canada, le Programme canadien de prêts aux étudiants offre des prêts sans intérêt pendant les études.",Concept credit,Moyen
"Qu'est-ce que le taux d'endettement ?","Le taux d'endettement est le pourcentage des revenus mensuels consacré au remboursement des crédits (hors loyer). Il ne doit généralement pas dépasser 33% des revenus.",Concept credit,Moyen
"Qu'est-ce qu'un prêt hypothécaire ?","Un prêt hypothécaire est un crédit immobilier garanti par une hypothèque sur le bien acheté. La banque peut saisir le bien si l'emprunteur ne rembourse pas.",Concept credit,Moyen
"Qu'est-ce qu'un compte courant ?","Un compte courant est un compte bancaire de dépôt qui permet de déposer de l'argent, d'effectuer des paiements (chèques, cartes) et des retraits. Il peut être débiteur (découvert) ou créditeur.",Concept banque,Facile
"Qu'est-ce qu'un relevé de compte ?","C'est un document, généralement mensuel, qui récapitule toutes les opérations (crédits et débits) effectuées sur un compte bancaire pendant une période donnée.",Concept banque,Facile
"À quoi sert un livret d'épargne populaire (LEP) ?","Le LEP est un livret d'épargne réglementé réservé aux personnes aux revenus modestes. Il offre un taux d'intérêt plus élevé que le livret A, sous conditions de ressources.",Produit epargne,Moyen
"Qu'est-ce que le plan d'épargne logement (PEL) ?","Le PEL est un compte d'épargne qui permet de bénéficier d'un prêt immobilier à taux avantageux. L'épargne est bloquée pendant 4 ans minimum.",Produit epargne,Moyen
"Qu'est-ce que l'inflation ?","L'inflation est la perte du pouvoir d'achat de la monnaie qui se traduit par une augmentation générale et durable des prix. Un bien à 100 € qui vaut 102 € un an plus tard correspond à une inflation de 2%.",Concept economie,Moyen
"Qu'est-ce que le pouvoir d'achat ?","Le pouvoir d'achat est la quantité de biens et de services que l'on peut acheter avec son revenu. Il dépend du revenu et des prix.",Concept economie,Facile
"Comment vérifier qu'un billet est authentique ?","On peut vérifier les signes de sécurité : filigrane, hologramme, nombre émeraude, marques tactiles (relief), fenêtre portrait. Le papier est ferme et craquant.",Securite argent,Moyen
"Qu'est-ce que l'hologramme sur un billet ?","C'est une image à reflets changeants avec un effet 3D, très difficile à reproduire, qui sert à authentifier le billet.",Securite argent,Facile
"Qui a créé la Banque de France ?","La Banque de France a été créée en 1800 par Napoléon Ier, alors Premier Consul.",Histoire finance,Facile
"En quelle année l'euro a-t-il été mis en circulation en France ?","L'euro a été mis en circulation le 1er janvier 2002.",Histoire finance,Facile
"Quelle était la monnaie utilisée en France avant l'euro ?","Le franc. Le louis était une monnaie ancienne, et le mark était la monnaie allemande.",Histoire finance,Facile
"Qu'est-ce qu'un chèque ?","Un chèque est un écrit par lequel une personne (le tireur) donne l'ordre à sa banque de payer une somme déterminée à une autre personne (le bénéficiaire).",Moyens paiement,Facile
"À partir de quel âge peut-on payer avec un chèque en France ?","Il faut être majeur (18 ans) ou avoir 16 ans avec l'accord de ses parents.",Moyens paiement,Facile
"Qu'est-ce que le commerce équitable ?","C'est un système d'échanges économiques qui respecte des préoccupations éthiques, sociales et environnementales, garantissant une juste rémunération aux producteurs.",Concept economie,Facile
"Qu'est-ce qu'un actionnaire ?","Un actionnaire est une personne qui possède une partie (des actions) d'une entreprise. Il peut recevoir des dividendes et participer aux décisions lors des assemblées générales.",Concept investissement,Moyen
"Qu'est-ce qu'un dividende ?","Un dividende est la somme versée périodiquement par une entreprise aux personnes possédant des actions de cette entreprise, sur une partie de ses bénéfices.",Concept investissement,Moyen
"Qu'est-ce qu'un OPCVM ?","Les OPCVM (Organismes de Placement Collectif en Valeurs Mobilières), ou fonds d'investissement, sont des portefeuilles diversifiés d'actions et d'obligations gérés par des professionnels.",Concept investissement,Difficile
"Qu'est-ce que le crowdfunding ?","Le crowdfunding (financement participatif) est un échange de fonds entre individus en dehors des circuits financiers institutionnels, via des plateformes en ligne, pour financer des projets.",Concept investissement,Moyen
"Comment économiser sur l'épicerie ?","Planifier ses repas, faire une liste, acheter des produits de saison, comparer les prix, utiliser des coupons, ne pas faire les courses le ventre vide, et acheter en gros pour les produits non périssables.",Astuces budget,Facile
"Qu'est-ce que l'argent de poche ?","C'est une somme d'argent attribuée régulièrement (chaque semaine par exemple) à un enfant ou un adolescent pour lui apprendre à gérer un petit budget et couvrir ses petites dépenses personnelles.",Concept budget,Facile
"Comment négocier ses factures ?","Appeler son fournisseur (téléphone, internet, assurance), demander le service client, comparer avec les offres concurrentes, et demander une ristourne ou un meilleur forfait. La fidélité ne paie pas toujours.",Astuces budget,Moyen
"Qu'est-ce qu'un relevé d'impôt ?","Un relevé d'impôt est un document qui récapitule les revenus perçus et les impôts prélevés. Il sert à déclarer ses revenus à l'administration fiscale.",Concept fiscalite,Moyen
"Qu'est-ce que la déclaration de revenus ?","C'est une formalité annuelle obligatoire en France où chaque foyer fiscal déclare l'ensemble de ses revenus perçus l'année précédente, permettant le calcul de l'impôt sur le revenu.",Concept fiscalite,Moyen
"Qu'est-ce que la taxe d'habitation ?","La taxe d'habitation est un impôt local français payé par toute personne occupant un logement au 1er janvier, qu'elle soit propriétaire ou locataire. Elle est en cours de suppression pour les résidences principales.",Concept fiscalite,Facile
